,Name,Bio
@cacophonicadent,Warren Koch,"Storytelling, archetypes, comedy, computing, philosophy, radical progressive left politik, cryptocurrencies, anthropology, zen, tarot mysticism, etc"
@abhineezy,AB,hit me if you have a 6:1 LTV:CAC and if your cohort curve flatlines indefinitely w positive unit economics IG:doublecheekkiss vegan
@salihtayfunince,Salih Tayfun İnce,Law & Artificial Intelligence / Teaching & Research Asst. @fsmvu |LLB @Bahcesehir & @LMU_muenchen & @SDSU | LLM @Galatasaray_Uni | PhD(cand.) @Uni_MR - Marburg
@RockwellFelder,Rockwell Felder,Brazilian Jiu Jit-su Student @guardiangym Co-founder @SquadCastFM Helping podcasters record studio-quality audio online
@Finomial,Finomial,"Finomial provides compliance-driven, investor-first, client lifecycle management. #FinTech #RegTech #KYC #AML #ClientOnboarding #Compliance"
@LotusDigitalCo,Lotus Digital,We're your digital brand advocates. The team to keep you ahead of the digital curve and above the chatter.
@joshbuchea,Josh Buchea,"Dad Remote Software Engineer JavaScript, React, React Native, Gatsby Married to @RBuchea Happy person Let's be friends"
@corykeane,Cory,"Technology, marketing, design, music, gaming, health, fitness, and boarding. Founder & CTO. Chicago & DFW. Finding my IKIGAI."
@toc_valentin,Valentin Toc,Startup Community Builder | co-founder | Volunteer | social entrepreneur | edu projects | youth projects | creative | @rubikhub
@pozorvlak,Pozorvlak,Recovering mathematician; juggler; aspiring climber and hacker.
@strategic_ltd,European Strategic Partnership LTD,"It is a British Company specialized in education and training mobility projects, youth exchange, corporate consultancy and trainings in hospitality industry."
@Vincent_Viitala,Vincent Viitala,16-year-old outside of the box thinking #AI researcher.
@agiron_78,Andre Giron,Software guy with a soft spot for design and product development. Founder and CEO of BeamLabs: http://beamlabs.net
@GabrielTomberl1,Gabriel Tomberlin,Security engineer studying AI and neuroscience
@KingFazir,KingFazir,"TBD, ex @TaxAct , @KeyBank , @Chase | #Innovation | #Strategist | #FinTech | | Tweets Are Mine | http://linkedin.com/in/fazirali/"
@aaron_etc,Aaron,"Software, security, civilization, language"
@Neelesh_L,Neelesh Lalwani,
@NedDavies,Ned Davies,Wastrel.
@_Pynchon_,Pynchon,The talent agency for internet intellectuals.
@RealWillBrooks,William,"Software Engineer with interests in Open-Source, Fin-tech, Design and building responsive user interfaces. When I'm not coding, I'm a photographer or gaming."
@JuliaRedfarn,Yulya Redfarn,"Partner @asaripartners . You are who you hire #startups, #cloud, INTJ. #recruitment, #talent, #hiring, animal welfare, #fitness, #health #meditation"
@lopezpdvn,Pedro Ivan Lopez,"software engineering @Epicor , rationality, science, comedy, music, philanthropy, medicine/biotech, JavaScript, TypeScript, C#, Python. Follow/RT ≠ endorsement."
@alicejoyk,Alice Karsevar,X/Labs Senior PM @LambdaSchool | Founder http://EasyTrustMaker.com | Prev Twitch / IGN / Xbox nerd | Real Estate #SF | @hololensidea
@club_scan,Midnight Scan Club,Rules of MSC: 1) Get more data 2) Get more data 3) Scan at midnight 4) Don't move 5) Don't fall asleep 6) Share the data. Est. 2013 #neuroscience
@vonLichtenfeld,Thomas James,Mech Eng going into Public Policy. Open to all ideas.
@scottjdavies01,Scott Davies,"Copy Editor @ordinarytimemag . Tech, economics, history, science, data and statistics."
@bzaidi,Bilal Zaidi,In-depth convos w/ the leading entrepreneurs of our time on @creatorlabfm . Ex @google @charitywater . London boy. Latest episode
@SerranoVentures,The Mariachi VC,"Current: Venture Fellow with @fissionvc / engineer, product manager, marathon runner, entrepreneur / Former: @iwpgh , @sylvatex , and Mariachi Serrano"
@lanceojohnson,Lance Johnson,Catholic. Host http://LeanCommerce.co Podcast. Musings on Microcap Equity in the Ecom Space.
@Ai4Conferences,Ai4 - Artificial Intelligence Conferences,Helping enterprise adopt #artificialintelligence and #ML technology. Join the discussion at our next conference. 10% discount code + more info in link below…
@CokaineKahri,kaine,producer songwriter etc.. D V. kahri the collective @alfytelay . only deal hard. marine vet. DMs work lets w o r k. email kahrimusic@gmail.com
@__kuskut__,∄,"Nothing. Interested in linux, terminal, programming, math, philosophy, network protocols, and human languages."
@TWakalix,"June “Wakalix”, reluctant Heart player","Mainly Homestuck and trans; geekery as well. Mage of Heart. One-boxes in Newcomb. June, 18, she/her"
@almiirakahya,Almira,
@pguskov,Petr Guskov,petr.guskov@icloud.com
@saams4u,Saamahn Mahjouri,"AI Engineer w/ a passion for quantum computing, data science, and intelligent systems."
@AbstractSha,Shameekia Shantel Johnson,"Adventurous Black Caribbean Woman. Future Art Historian, dibble and dabbler of many other things."
@dust782,dust,
@KingDraw_chem,KingDraw,"KingDraw professional structural formula editor, creating a special work station for chemists!"
@Bryan_Weis,Bryan Weis,Growth & Product at @Siftery
@kirazakin,Kiraz Akın,Serbest stil maceralı yazarlık. -♫ -Sonsuz Ev İşleri Sanal Sergi: #sonsuzpatates http://instagram.com/kirazakin.gifo…
@Rob1Ham,Rob Hamilton,"Alum of @MLG , @openx , and @IBM . Now in @lambdaschool 's data science program. Bitcoin and Poker."
@josegocampo,Jose Ocampo,@Lexgoinc modern legal services for startups | studying @LambdaSchool | Co-Lead @RadxChangeChile
@hauselin,Hause Lin,phd student in @minzlicht 's lab; use data science to figure out how we and our brain make decisions; effect size converter http://escal.site
@lucaOmay,Lucas,
@realzachertel,zach ertel,JBU Rugby '22
@TheStemQueen,Sasha Ariel Alston,Promoting diversity in tech & children's literacy. Author of Sasha Savvy Loves to Code. Pace University ‘19
@spencerstockton,Spencer Stockton,"@UberEats Ops | ATL Born, now NYC| how are we"
@Gabriel_Oguna,Phuture YungUpstart,NuAfrika Datascience ML & DL
@alexangelj,alexangel.eth,Pirate
@NFauchereau,nicolas fauchereau,"climate scientist, pythonista, data geek, interested in Machine Learning for seasonal climate prediction. tweets my own"
@AndreRetterath,Andre Retterath,"Engineer turned #VC @EarlybirdVC | Educated @TU_Muenchen @Cambridge_Uni @Harvard | Deep interest in #AI, #ML, #Data, #DevTech & #EnterpriseTech"
@MenchuCorvalan,Menchu,Data Analyst. Spanish/English/French
@deephdave,Deep Dave,"Exploring startups, music, podcasts, books and a little bit of everything. Master of none!"
@davesalinger,David Salinger,Great managers don't leave teambuilding to chance.
@to_your_point,Shay,"I break big rocks into smaller rocks. Actionable lessons in writing, programming, and probability at http://shayallenhill.com"
@eREcICCncteS4TZ,Лаио Срйлі Геннадий,Being a good person is by far the most reliable source of happiness.
@TheDecentTech,Absurd and Worse,A recurring synthesis of cynicism and optimism. Transcend ideology. RTs ≠ endorsements. Snapchat: thecrimsonking8 (introduce yourself)
@MarhumGandi,Gandi Marhum,Sulawesi tengah(Tolitoli)
@lakeseafly1,lakeseafly,"#PhD student of the Applied Bioinformatics Group in #UWA Research interests: plant #pangenome, structural variations and data mining in big sequencing dataset"
@LeoGrinsztajn,Léo Grinsztajn,r-selected intellectual
@davidh_23,David Herges,
@Cowfucius,Avinash Ramanathan,"Seed Investment team at @Kstartindia / @Kalaari . Ex Decision Scientist at @MuSigmaInc . Deeply interested in incentives, leverage, asymmetry and interaction design"
@gjstyler,George Tyler,"PPE @DUBusSchool Currently Econ & CS @unimelb : cool development RCTs, Python, being nice to people on Twitter He/Him"
@jean_yujing_fan,Jean Fan,Researcher; Chinese-American; on leave from Stanford. Send me book recommendations and good art
@ShampooGirlM,Shampoo &Skin care. Bottled Inventions Tora Bella,luxury skin & hair care products by Monat Global & Hand made lights from recycled wine bottles that are creative and unique Also magnetic lashes.
@skjonas,Steven Jonas,"Managing Editor for Quantified Self. Self-experimenter, SuperMemo practitioner, and Portland QS organizer. Just trying to build a better mental model."
@sohail_rajput,Sohail Ahmad,Deep Learning aspirant
@LapsusLima,The Nightjar,བར་དོ-later. Πότνια Θηρῶν. Interdimensional woman of mystery. Peruvian exhibition catalog at the 17th Venice Architecture Biennale. #MetaTwitter / #LapsusLima
@divalbanerjee,Dival Banerjee,| @HyperloopUC | @midwestloop | @Fly_UC | UC Computer Engineering
@avram_twitchell,Avram Twitchell,"Current CS Masters student @ University of Utah. I try to tweet about coding, but in practice I mainly tweet about books I'm reading."
@vahlamorgulis,House of Black&White,"Bunheads, Game of Thrones, Wire, Deadwood, Mad Men. Archer. NBA."
@josephcua,Joseph Cua,Work hard + Be kind | Currently at @Fullstory making the internet suck less | Previously: @salesforce
@coreyo,Corey O,"Product at @madisonreedllb | | @DesignMBA at CCA, former @deloittedigi_us"
@Jimmy_Rosen,Jim Rosen,Tech Sales Recruiting @CloserIQ | ex- @UnionGroveVP | @Phish @ColgateAthletic @GoHeels & @NJDevils Fan
@edreschka,elianadrescher,"let's make this thing even better. currently @swordhealth , fmr @venture4america , @Bloomberg @JohnsHopkins . views are my own"
@varun_mathur,Varun,Building a useful layer of the web
@econobitch,Manuel Bautista,"Mexican economist ( @UNAM_MX ), economic historian of the USA ( @Columbia ), consultant ( @winthropgroup ), editor ( @hofdeusamex & @repec_nep_his blog), #Amexican"
@HatamyarJ,Julia Hatamyar,"Economics PhD student, former concert pianist, Corgi owner, crossword enthusiast."
@KnightDavidJ,David James Knight,Data/ML Engineer. Consultant. Instructor @IronhackMIA . Roots in web development. Former Army officer. Recovering appellate attorney. Algorithmic retweeter.
@jthoyer,Justin Thor Hoyer,"Researcher and Designer. Iinterested in the systems of the world, the mechanics of how it plays out and the people who help make it happen."
@jeffdeecee,Jeff C,Taste-Faker & Thought Deleter. Professional Copy-Paster.
@jnearestn,Jared Tumiel,Medicine | Deep Learning | Podcasting @podtangent Learning what I was never taught or wasn't smart enough to foresee I would need!
@QVagabond,Gianluca Truda,AI Student Data Scientist Rationalist Self-experimenter Co-host: @podtangent The Quantified Vagabond
@_MohamedAlmaki_,Mohammed Almakki,Philomath | ML/DL enthusiast | Software Developer #DLIndaba2019
@AaronGundy,Aaron Gunderson,"Director of Content Strategy at @Clearlink . Tweets about Utah, food, politics, UX/product, marketing, smoking (meat), music, kids, and random musings."
@ultimape,,Cyborg Informavore. CW:body horror + existential dread. Independent #ActuallyAutistic Researcher; solving my autism. Pronouns: [Subject-Pronoun]/[Reflexive]
@j0nf00,Jon Eyre,Artisanal onion caramelizer. Single-origin moustache wax futures speculator. Post-Confederate gravy eater. The Artist Formerly Known As Pope Egregory IX.
@spiderfoods,Chris Johnson,reconciling christopher alexander with soren kierkegaard since 1991 andrew yang for president striving every day to be a better p-zombie
@logrhythmm,Ben Swanson,
@RadiantSabr,.,
@zanzon96,zaina,"researcher at heart , #butfirstcoffee"
@PseudosaurusYT,Pseudosaurus Gaming,A guy who loves to play Minecraft. http://youtube.com/c/PseudosaurusGaming… | http://twitch.tv/pseudosaurus
@mbclarkson23,Michael Clarkson,"brand, marketing and strategy in sports/tech. @PLAYRSmartCoach | @CatapultSports | #SINextGen Leader"
@blissfulchar,Charlene Chambliss,"Data Science Fellow working on applied NLP. Tweets are mostly data stuff, research, natural/computational art, and things that make you say “oh, neat.”"
@thegiantnewfie,Shri,Nation first. RT/Like/Follow not endorsement.
@gadikian,Jacob Gadikian,father | husband to @sopheavyswin101 | cofounder @universelabs | freezing on lake erie | 6.15 BTC | rothbard | +1 716-202-8501 | amateur health nut
@neilmukti,Neil Mukti,Doing asks a part. Non-doing demands a whole and just 'is'.
@caffe_makiato,Edwin Mak,Associate at Burda Principal Investments. Adding data chops to my business toolbox. Also tweets about good reads and sports.
@nyarlathotepesq,Crawling causal chaos,"Lovecraftian Causal Directed Acyclical Graph. I don't endorse (moreover, oppose vehemently) any opinions (especially my own). Tweets in English/Russian"
@thegoodtimeline,Ryan Ferris,"Music creator with Beacon Bloom and host of the Good Timeline Podcast. Interests: Personal Agency, Transhumanism, Chai."
@s4sarat,Sarat,"howdy, stranger !"
@elizacharlottee,Charlie,
@JasonBMcFarlane,Jason McFarlane,@Startersoft CEO / #MW2020
@Stanleyipkiss3,Sud,Geek•B2B•Chatbots• Nocode •How can I help?
@raskolnier,Crypto’ed,
@_sapte,Shriram Apte,dba Shri; Finance and ISAs @LambdaSchool ; Prev: @FTVCapital
@alexisromanHF,Alexis Roman,Passionate about #Innovation and #Tech in Emerging Markets. Supporting (very) early stage founders in Africa. Venture Partner @MESTAfrica | @mcgillu alumni
@ijantje,Christijan Draper,"Husband. Father of five. PhD. UX Program Manager, Lambda School"
@kochakian,Matthew,Co-founder @ Cicero. Building a digital city. Studied @nyustern
@THEAlexisCarr,Alexis,software engineer at @Eventbrite | data scientist | writer | a perpetual work in progress. i really like turtles. UH '16 》A&M '19 》Lambda School '19
@iamshivam98,Shivam Shukla,YIF’20 | I believe in equality and work for it. #IAmGirlRising
@NeelBhula,Neel Bhula,"Here for hot takes in tech, finance & digital marketing. Views are my own. What did you learn today?"
@MAustin_4249,Matt Austin,"I finance + software || Biz Dev, VC & PE @Finix || Prev. @JPMorgan @khoslaventures @conversioncap @KPMG || Always remain curious || @columbia_biz"
@vicjaq,Victor Jaquez,"Software developer, curious human"
@bvb373,Benjamin van Buren,"Vision scientist, assistant professor @TheNewSchool in NYC."
@PeteDram,Pete James,"Learning like a child, every day"
@WillHoryn,Will Horyn,NYC banker actively seeking opportunity to join early stage tech investing firm and enable entrepreneurs. Location agnostic. Please DM if any opportunities
@Macgridcupcake,Macgill Davis,"It's a doggy dog world. cofounder @Humble_Dot , formerly @twitter @peerfeedback @guide_hire"
@LukaGallinari,Lukà,invictus
@tumelomakgaka,Tumelo,Learning to silence my ego
@_arjun_krishnan,Arjun Krishnan,"Currently @mckinsey | alum @georgetownsfs | I love basketball, movies, and helping companies grow"
@conordewey3,Conor Dewey,Data scientist @Squarespace . Frequent writer @Medium . Course instructor @DataCamp .
@Reido2012,オマー,"University of Bath Comp Sci Graduate. Ex International Athlete. Former: Research Engineer - Cogent Labs, Tokyo アメリカ人。23歳。はじめまして."
@ijentgen,Ian Jentgen,New Business @Circus_St
@ndosenbach,Nico Dosenbach,Asst. Prof. of Pediatric Neurology @ WashU School of Medicine Neuroimaging researcher interested in network plasticity MSC02 #neuroscience #openscience #data
@nerizoned,aliah,i seriously need to build a personal website | always soul-searching
@eleetyson,Ethan Lee-Tyson,operations @flexport • fan @HCFords_BSB
@AlvinWants2know,Alvin,"Doing the work I ! Tech , Finance/Wealth , Mental Health , POC , He/His , 1st Gen . #VCTwitter #Founder #AngelInvest"
@stefanvonimhof,Stefan von Imhof,"Leading Product @Flippa . Finding, buying & selling small businesses on the side. I also tweet about cities+travel. My personal brand is all over the map."
